,intensidad,ocupacion,vmed,cong,anom,outlier
1247,382,1,62,0,0,0
1248,240,1,63,0,0,0
1249,239,1,56,0,0,0
1250,288,1,69,0,0,0
1251,312,1,66,0,0,0
1252,397,1,65,0,0,0
1253,132,-1,60,0,0,0
1254,480,1,63,0,0,0
1255,144,1,77,0,0,1
1256,180,-1,63,0,0,0
1257,288,1,61,0,0,0
1258,180,-1,62,0,0,0
1259,105,1,33,0,0,0
1260,140,-1,59,0,0,0
1261,286,2,65,0,0,0
1262,205,1,72,0,0,0
1263,30,0,43,0,0,0
1264,708,3,61,0,0,0
1265,1439,6,64,1,0,0
1266,1060,3,66,1,0,0
1267,1120,4,62,1,0,0
1268,920,4,61,1,0,0
1269,996,5,60,1,0,0
1270,96,-1,65,0,0,0
1271,204,1,65,0,0,0
1272,180,1,61,0,0,0
1273,371,1,63,0,0,0
1274,330,1,65,0,0,0
1275,376,1,64,0,0,0
1276,432,1,65,0,0,0
1277,679,2,65,0,0,0
1278,781,1,65,0,0,0
1279,1500,7,71,1,0,1
1280,900,3,66,1,0,0
1281,1190,6,63,1,0,0
1282,820,3,62,1,0,0
1283,1411,5,58,1,0,0
1284,820,3,67,1,0,0
1285,1173,8,57,1,0,0
1286,1200,6,61,1,0,0
1287,1038,4,62,1,0,0
1288,840,4,61,1,0,0
1289,1232,5,63,1,0,0
1290,1440,7,58,1,0,0
1291,1020,5,58,1,0,0
1292,1110,4,59,1,0,0
1293,1491,4,63,1,0,0
1294,998,5,59,1,0,0
1295,1511,7,62,1,0,0
1296,1400,5,63,1,0,0
1297,1518,7,56,1,0,0
1298,1040,4,62,1,0,0
1299,1543,7,58,1,0,0
1300,1541,5,62,1,0,0
1301,2100,9,61,1,0,1
1302,1640,8,60,1,0,0
1303,1945,8,60,1,0,0
1304,1913,9,59,1,0,0
1305,1920,9,57,1,0,0
1306,1729,6,61,1,0,0
1307,1740,7,58,1,0,0
1308,1120,5,61,1,0,0
1309,840,4,61,1,0,0
1310,1170,5,60,1,0,0
1311,1561,6,61,1,0,0
1312,1152,8,57,1,0,0
1313,1155,7,62,1,0,0
1314,1365,8,62,1,0,0
1315,1440,7,59,1,0,0
1316,1152,7,60,1,0,0
1317,1200,5,60,1,0,0
1318,1236,3,64,1,0,0
1319,1290,4,58,1,0,0
1320,1188,6,63,1,0,0
1321,1095,5,61,1,0,0
1322,1300,5,57,1,0,0
1323,824,4,61,1,0,0
1324,900,4,63,1,0,0
1325,1392,7,62,1,0,0
1326,1081,4,62,1,0,0
1327,1151,7,54,1,0,0
1328,1470,5,63,1,0,0
1329,1296,6,57,1,0,0
1330,990,4,60,1,0,0
1331,1140,4,62,1,0,0
1332,1000,4,59,1,0,0
1333,648,5,62,0,0,0
1334,1040,5,63,1,0,0
1335,510,2,62,0,0,0
1336,500,3,61,0,0,0
1337,750,2,61,0,0,0
1338,810,2,64,1,0,0
1339,900,3,61,1,0,0
1340,375,1,64,0,0,0
1341,588,2,60,0,0,0
1342,528,2,65,0,0,0
1343,780,3,58,0,0,0
1344,1008,3,60,1,0,0
1345,708,4,58,0,0,0
1346,585,2,66,0,0,0
1347,720,4,61,0,0,0
1348,468,3,63,0,0,0
1349,510,1,63,0,0,0
1350,510,1,63,0,0,0
1351,580,2,63,0,0,0
1352,359,2,63,0,0,0
1353,344,2,62,0,0,0
1354,300,1,59,0,0,0
1355,504,2,65,0,0,0
1356,589,2,59,0,0,0
1357,120,1,40,0,0,0
1358,225,-1,57,0,0,0
1359,492,2,62,0,0,0
1360,180,1,60,0,0,0
1361,330,1,63,0,0,0
1362,504,2,59,0,0,0
1363,456,2,67,0,0,0
1364,280,1,64,0,0,0
1365,419,2,66,0,0,0
1366,372,1,64,0,0,0
1367,372,3,61,0,0,0
1368,301,2,59,0,0,0
1369,600,2,64,0,0,0
1370,336,2,63,0,0,0
1371,576,3,68,0,0,0
1372,504,2,63,0,0,0
1373,709,5,63,0,0,0
1374,890,5,62,1,0,0
1375,511,3,55,0,0,1
1376,864,5,60,1,0,0
1377,828,4,62,1,0,0
1378,1094,5,63,1,0,0
1379,709,3,63,0,0,0
1380,996,6,59,1,0,0
1381,336,3,64,0,0,0
1382,361,1,65,0,0,0
1383,1305,7,60,1,0,0
1384,1100,7,62,1,0,0
1385,721,2,63,0,0,0
1386,816,4,66,1,0,0
1387,1180,6,58,1,0,0
1388,1002,6,56,1,0,0
